,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,33.94,100,80,5.86,70.62,147.9
1,82.81,38,92,7.2,-16.36,-46.91
2,28.4,86,75,10.29,69.44,-133.03
3,75.97,66,24,2.62,-18.36,-44.46
4,80.6,65,75,12.75,-0.74,-90.35
5,52.61,93,90,12.75,48.95,4.24
6,71.6,94,20,3.36,37.14,-8.45
7,70.48,75,0,2.73,26.02,82.92
8,75.2,83,0,5.82,-22.97,-42.02
9,62.47,94,0,2.06,24.67,94.07
10,31.24,72,32,2.73,56.84,124.9
11,60.94,81,80,2.62,31.68,112.0
12,80.6,83,20,1.12,11.28,-15.83
13,29.71,96,88,5.64,71.98,102.47
14,79.12,100,56,8.21,-9.8,-139.03
15,85.75,72,1,3.36,30.04,-94.42
16,53.6,81,75,16.11,-42.88,147.33
17,68.5,100,100,19.51,-23.12,-134.97
18,30.2,80,90,13.87,63.75,-68.52
19,76.12,94,75,3.36,5.28,115.24
20,46.81,97,88,21.41,63.05,179.32
21,39.2,69,40,5.82,63.84,-22.43
22,35.6,80,20,14.99,-54.81,-68.31
23,76.42,53,56,8.43,13.47,22.2
24,35.6,64,80,8.05,65.61,-37.64
25,82.4,78,40,12.75,13.22,-59.52
26,50.5,45,92,16.04,-46.43,-67.52
27,84.2,74,75,8.05,7.04,134.26
28,56.26,100,0,21.52,-33.64,115.35
29,77.0,44,40,19.46,-21.21,-159.78
30,45.55,32,0,2.62,60.75,-137.51
31,69.8,94,75,3.36,-28.24,-48.67
32,71.6,68,75,9.17,-20.41,57.7
33,68.14,79,36,2.17,-20.63,-46.0
34,41.32,100,44,12.01,64.52,34.76
35,72.64,100,68,14.25,-14.27,50.17
36,57.07,84,90,11.41,42.78,-96.93
37,82.4,42,0,11.41,27.27,31.15
38,61.23,90,90,8.05,42.65,-73.75
39,22.6,89,68,3.29,71.97,114.09
40,41.0,80,40,2.24,47.66,-52.73
41,44.92,82,80,5.97,-42.48,-73.76
42,86.25,70,75,9.17,22.89,-109.91
43,84.61,100,0,4.18,3.07,172.79
44,77.0,94,75,3.96,5.43,7.07
45,78.85,100,68,8.66,12.45,125.29
46,83.08,100,68,4.63,-0.87,134.08
47,41.95,75,40,31.09,-53.16,-70.91
48,57.2,24,20,12.75,-45.87,-67.48
49,51.22,61,44,12.57,-38.55,-58.74
50,60.8,87,40,6.93,33.93,134.5
51,49.78,93,90,9.17,44.84,-65.29
52,59.5,78,76,9.66,-33.21,138.6
53,79.0,55,1,11.41,19.71,-155.08
54,73.09,98,36,3.74,-6.13,12.37
55,36.73,52,0,3.96,54.23,-125.76
56,55.4,62,76,3.36,-34.53,20.04
57,64.63,85,0,2.84,22.88,84.14
58,92.98,51,20,6.31,25.34,-108.26
59,81.19,91,0,4.63,-4.94,122.53
60,76.96,100,8,4.74,25.02,37.27
61,30.2,63,75,21.92,62.45,-114.38
62,53.02,85,0,7.2,-46.19,168.86
63,39.52,59,20,4.7,68.22,-135.01
64,62.65,29,0,7.09,-17.5,24.28
65,55.99,75,0,8.99,42.54,125.69
66,50.14,86,56,6.2,-34.42,19.24
67,53.65,39,32,13.24,-38.31,-60.23
68,70.21,83,0,2.95,22.12,84.04
69,37.27,100,88,20.07,66.69,34.34
70,82.47,74,75,3.36,18.22,-63.06
71,50.0,61,90,3.36,48.48,-81.33
72,73.54,48,0,9.22,-23.58,149.07
73,65.3,68,0,4.7,38.18,-1.13
74,68.77,62,0,7.76,-26.54,151.84
75,49.51,82,75,9.22,61.22,-149.89
76,50.5,85,0,10.22,47.88,134.96
77,42.8,38,75,12.75,55.74,-97.86
78,75.2,100,40,4.7,3.1,98.49
79,82.4,83,40,5.97,13.22,80.32
80,51.8,62,75,14.99,48.64,13.53
81,55.4,62,20,19.46,-33.93,18.42
82,84.88,63,1,9.17,21.35,-158.09
83,68.77,76,0,2.95,25.33,76.51
84,64.38,82,75,6.93,35.73,140.83
85,68.95,97,68,1.95,15.34,74.49
86,31.42,89,68,3.96,57.31,88.17
87,78.8,74,90,20.8,32.3,-64.78
88,50.85,100,90,8.05,45.36,-73.48
89,77.68,92,56,3.62,-2.68,111.62
90,76.69,99,92,3.74,7.53,-12.5
91,86.77,97,24,2.06,17.65,83.27
92,76.15,89,48,12.8,-5.2,-35.46
93,79.84,90,0,2.17,11.0,122.67
94,45.84,93,75,6.71,55.62,38.12
95,44.92,77,8,5.19,46.45,135.83
96,71.08,94,75,5.86,40.58,-86.19
97,39.7,77,80,1.72,33.31,75.77
98,70.12,100,80,6.08,38.52,-28.7
99,52.3,74,0,3.62,44.18,66.74
100,59.0,72,0,12.75,-29.95,-71.34
101,23.14,100,12,9.1,77.48,-69.36
102,84.2,79,20,6.93,10.24,-61.45
103,46.0,91,92,24.43,65.58,-170.99
